datetime,close,position,asset_r,costs,strat_r,equity,signal,rv,risk_multiplier,regime,shock_active,iter_id,fast,slow,wf_equity
2024-05-01 09:00:00+00:00,57115.61,0.0,-0.0009459558028038773,0.0,-0.0,1000000.0,0,0.008502586288163149,,NEUTRAL,0.0,0,40,160,1000000.0
2024-05-01 10:00:00+00:00,57768.68,0.0,0.011434177101496523,0.0,0.0,1000000.0,0,0.008714692321643997,,NEUTRAL,0.0,0,40,160,1000000.0
2024-05-01 11:00:00+00:00,57898.47,0.0,0.002246719156470345,0.0,0.0,1000000.0,0,0.008731911720952501,,NEUTRAL,0.0,0,40,160,1000000.0
2024-05-01 12:00:00+00:00,57969.98,0.0,0.0012350930862250475,0.0,0.0,1000000.0,0,0.008679756943095607,,NEUTRAL,0.0,0,40,160,1000000.0
2024-05-01 13:00:00+00:00,57301.29,0.0,-0.011535108344008393,0.0,-0.0,1000000.0,0,0.008726739620780383,,NEUTRAL,0.0,0,40,160,1000000.0
2024-05-01 14:00:00+00:00,57482.0,0.0,0.0031536811823957844,0.0,0.0,1000000.0,0,0.008481827200053419,,NEUTRAL,0.0,0,40,160,1000000.0
2024-05-01 15:00:00+00:00,56886.0,0.0,-0.010368463171079645,0.0,-0.0,1000000.0,0,0.008536246796065383,,NEUTRAL,0.0,0,40,160,1000000.0
2024-05-01 16:00:00+00:00,57043.99,0.0,0.002777309003972883,0.0,0.0,1000000.0,0,0.008561148529642659,,NEUTRAL,0.0,0,40,160,1000000.0
2024-05-01 17:00:00+00:00,57424.65,0.0,0.006673095623219938,0.0,0.0,1000000.0,0,0.008611497920975241,,NEUTRAL,0.0,0,40,160,1000000.0
2024-05-01 18:00:00+00:00,58913.99,0.0,0.025935552066925993,0.0,0.0,1000000.0,0,0.009483729985745136,,NEUTRAL,0.0,0,40,160,1000000.0
2024-05-01 19:00:00+00:00,56954.47,0.0,-0.03326069071200233,0.0,-0.0,1000000.0,0,0.010563677901521379,,NEUTRAL,0.0,0,40,160,1000000.0
2024-05-01 20:00:00+00:00,57361.7,0.0,0.007150097261900523,0.0,0.0,1000000.0,0,0.010644589147289588,,CHOP,0.0,0,40,160,1000000.0
2024-05-01 21:00:00+00:00,57909.03,0.0,0.009541732549767534,0.0,0.0,1000000.0,0,0.010758372630002273,,NEUTRAL,0.0,0,40,160,1000000.0
2024-05-01 22:00:00+00:00,57880.58,0.0,-0.0004912878008834776,0.0,-0.0,1000000.0,0,0.010550864110104329,,NEUTRAL,0.0,0,40,160,1000000.0
2024-05-01 23:00:00+00:00,58364.97,0.0,0.008368782759260451,0.0,0.0,1000000.0,0,0.01065479185131763,,NEUTRAL,0.0,0,40,160,1000000.0
2024-05-02 00:00:00+00:00,57767.29,0.0,-0.010240389055284349,0.0,-0.0,1000000.0,0,0.010546855032561102,,NEUTRAL,0.0,0,40,160,1000000.0
2024-05-02 01:00:00+00:00,57112.37,0.0,-0.011337211768113087,0.0,-0.0,1000000.0,0,0.01046217958726055,,NEUTRAL,0.0,0,40,160,1000000.0
2024-05-02 02:00:00+00:00,57463.87,0.0,0.006154533597537704,0.0,0.0,1000000.0,0,0.010507914685620413,,NEUTRAL,0.0,0,40,160,1000000.0
2024-05-02 03:00:00+00:00,57442.88,0.0,-0.0003652729967543733,0.0,-0.0,1000000.0,0,0.010511151807971186,,NEUTRAL,0.0,0,40,160,1000000.0
2024-05-02 04:00:00+00:00,57396.22,0.0,-0.0008122851779018836,0.0,-0.0,1000000.0,0,0.010509794510572462,,NEUTRAL,0.0,0,40,160,1000000.0
2024-05-02 05:00:00+00:00,57484.57,0.0,0.0015392999748067293,0.0,0.0,1000000.0,0,0.01052200770732907,,NEUTRAL,0.0,0,40,160,1000000.0
2024-05-02 06:00:00+00:00,57628.56,0.0,0.0025048460830445762,0.0,0.0,1000000.0,0,0.010531534806425854,,CHOP,0.0,0,40,160,1000000.0
2024-05-02 07:00:00+00:00,57681.08,0.0,0.0009113536760245733,0.0,0.0,1000000.0,0,0.010534760775809606,,CHOP,0.0,0,40,160,1000000.0
2024-05-02 08:00:00+00:00,57834.82,0.0,0.002665345378415118,0.0,0.0,1000000.0,0,0.0102214960457583,,CHOP,0.0,0,40,160,1000000.0
2024-05-02 09:00:00+00:00,57804.36,0.0,-0.0005266723402960194,0.0,-0.0,1000000.0,0,0.010216497487958377,,CHOP,0.0,0,40,160,1000000.0
2024-05-02 10:00:00+00:00,57801.41,0.0,-5.103421264407437e-05,0.0,-0.0,1000000.0,0,0.010209572595723157,,CHOP,0.0,0,40,160,1000000.0
2024-05-02 11:00:00+00:00,58559.66,0.0,0.013118192099466075,0.0,0.0,1000000.0,0,0.010347576916107673,,CHOP,0.0,0,40,160,1000000.0
2024-05-02 12:00:00+00:00,58556.59,0.0,-5.242516776915451e-05,0.0,-0.0,1000000.0,0,0.010346498288357242,,CHOP,0.0,0,40,160,1000000.0
2024-05-02 13:00:00+00:00,58450.22,0.0,-0.0018165333739549316,0.0,-0.0,1000000.0,0,0.010312369150336842,,CHOP,0.0,0,40,160,1000000.0
2024-05-02 14:00:00+00:00,59055.25,0.0,0.01035120141549517,0.0,0.0,1000000.0,0,0.010376407301276029,,CHOP,0.0,0,40,160,1000000.0
